Project Key,External ID,Issue Type,Summary,Description,Epic Name,Epic External ID,Story Points,Sprint,Priority,Labels,Acceptance Criteria
ARDA,EPIC-PLT,Epic,Platform Reliability and Security,Establish secure and observable platform foundations for all services,Platform Reliability and Security,,,High,arda-v2 mvp epic platform,
ARDA,EPIC-WEB,Epic,Web App and PWA,Deliver the web client and PWA foundation for mobile warehouse workflows,Web App and PWA,,,High,arda-v2 mvp epic web,
ARDA,EPIC-CAT,Epic,Catalog and Onboarding,Deliver parts suppliers BOM and onboarding capabilities,Catalog and Onboarding,,,High,arda-v2 mvp epic catalog,
ARDA,EPIC-KBN,Epic,Kanban Lifecycle,Implement loop and card lifecycle management and queue feed reliability,Kanban Lifecycle,,,High,arda-v2 mvp epic kanban,
ARDA,EPIC-PROC,Epic,Procurement and Purchase Orders,Implement procurement queue and complete purchase order lifecycle,Procurement and Purchase Orders,,,High,arda-v2 mvp epic procurement,
ARDA,EPIC-REC,Epic,Receiving and Exceptions,Deliver receiving operations and exception handling flows,Receiving and Exceptions,,,High,arda-v2 mvp epic receiving,
ARDA,EPIC-PROD,Epic,Production Management,Deliver work order routing and production execution features,Production Management,,,High,arda-v2 mvp epic production,
ARDA,EPIC-TRN,Epic,Transfer Kanban,Deliver inter facility transfer queue and order lifecycle,Transfer Kanban,,,High,arda-v2 mvp epic transfer,
ARDA,EPIC-REL,Epic,ReLoWiSa and Inventory Inference,Build inference and recommendation services for Kanban optimization,ReLoWiSa and Inventory Inference,,,High,arda-v2 mvp epic relowisa,
ARDA,EPIC-ECOM,Epic,eCommerce API and Sales Workflows,Deliver external API and sales enablement workflows,eCommerce API and Sales Workflows,,,High,arda-v2 mvp epic ecommerce,
ARDA,EPIC-BILL,Epic,Billing and Entitlements,Implement subscription metering and plan feature gates,Billing and Entitlements,,,High,arda-v2 mvp epic billing,
ARDA,EPIC-ANL,Epic,Analytics and Reporting,Deliver executive dashboards exports and search,Analytics and Reporting,,,High,arda-v2 mvp epic analytics,
ARDA,EPIC-OPS,Epic,Launch Hardening and Operations,Prepare production readiness through testing security and release operations,Launch Hardening and Operations,,,High,arda-v2 mvp epic operations,
ARDA,ARDA-101,Story,Centralize card stage transitions,Route all card stage changes through one lifecycle service,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 lifecycle,All stage transitions call lifecycle service;Invalid transitions are rejected;Transition history rows are always persisted
ARDA,ARDA-102,Story,Publish domain events for lifecycle changes,Emit card and order domain events from all mutation paths,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 events,card.transition order.created and order.status_changed events are emitted;Event payloads are validated;No duplicate event emission on retries
ARDA,ARDA-103,Story,Add immutable audit logging,Write immutable audit records for all critical write actions,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 audit,Create update and delete actions are logged;Actor and tenant context are captured;Before and after snapshots are available
ARDA,ARDA-104,Story,Enforce RBAC matrix,Apply role authorization checks across service endpoints,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 security,Unauthorized calls return 403;Role matrix is documented;All persona routes are covered by tests
ARDA,ARDA-105,Story,Create integration test harness,Add integration test framework with seeded tenant fixtures,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 testing,Core services run integration tests in CI;Seed data is deterministic;Critical paths have regression coverage
ARDA,ARDA-106,Story,Add Sentry and service dashboards,Wire error telemetry and service health dashboards,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 observability,Services report structured errors;Health dashboards exist;Alert thresholds are configured
ARDA,ARDA-107,Story,Add idempotency to trigger and queue APIs,Prevent duplicate triggers and duplicate order creation,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 reliability,Duplicate requests are safely ignored;Idempotency keys are supported;No duplicate card transitions are created
ARDA,ARDA-108,Story,Standardize API error contract,Return consistent error payload and correlation ID from all services,,EPIC-PLT,3,Sprint 1 (Weeks 1-2),Medium,arda-v2 mvp sprint-1 api,All service errors follow one schema;Correlation ID is returned and logged;Client can map errors reliably
ARDA,ARDA-201,Story,Build role based app shell,Create web shell with auth tenant context and role navigation,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 web,Authenticated users land on persona dashboards;Navigation is role aware;Tenant switch context is consistent
ARDA,ARDA-202,Story,Implement PWA offline baseline,Enable installable PWA with offline and sync status indicators,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 pwa,PWA install prompt works;Offline state is visible;Sync status reflects queued operations
ARDA,ARDA-203,Story,Build QR scan screen with offline queue,Create mobile scan workflow that queues scans while offline,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 scan,Scan flow works online;Offline scans are queued locally;Queued scans replay successfully when online
ARDA,ARDA-204,Story,Build catalog management UI,Implement parts suppliers categories and BOM screens,,EPIC-CAT,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 catalog,CRUD is complete for core catalog entities;Validation errors are user friendly;Search and filters are available
ARDA,ARDA-205,Story,Build loop and card setup UI,Implement single card and multi card loop setup flows,,EPIC-KBN,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 kanban,Loop creation supports all loop types;Card mode constraints are enforced;Generated cards are visible immediately
ARDA,ARDA-206,Story,Implement card print templates,Generate printable card and label formats with tenant logo,,EPIC-KBN,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 printing,All required formats render;QR and card metadata are accurate;Customer logo appears on templates
ARDA,ARDA-207,Story,Add facilities and storage location UI,Manage facilities and storage locations from web app,,EPIC-CAT,5,Sprint 2 (Weeks 3-4),Medium,arda-v2 mvp sprint-2 locations,Facility CRUD works;Storage location CRUD works;Validation prevents duplicate codes per scope
ARDA,ARDA-208,Story,Deliver onboarding wizard v1,Provide CSV upload and manual entry onboarding flow,,EPIC-CAT,5,Sprint 2 (Weeks 3-4),Medium,arda-v2 mvp sprint-2 onboarding,CSV import with preview works;Manual entry wizard works;Final confirmation persists catalog data
ARDA,ARDA-301,Story,Implement queue prioritization engine,Rank triggered queue items by criticality velocity and days of supply,,EPIC-PROC,8,Sprint 3 (Weeks 5-6),Highest,arda-v2 mvp sprint-3 queue,Priority score is deterministic;Queue ranking is explainable;Priority updates reflect latest movement data
ARDA,ARDA-302,Story,Build unified queue UI,Create queue views for procurement production and transfer,,EPIC-KBN,8,Sprint 3 (Weeks 5-6),High,arda-v2 mvp sprint-3 queue,Users can filter and sort queue items;Bulk select actions are available;Queue latency is acceptable under load
ARDA,ARDA-303,Story,Create PO from queue with consolidation,Convert selected cards into supplier consolidated purchase orders,,EPIC-PROC,8,Sprint 3 (Weeks 5-6),Highest,arda-v2 mvp sprint-3 procurement,Multiple cards can batch into one PO;Supplier and facility constraints are enforced;Linked cards transition to ordered
ARDA,ARDA-304,Story,Complete PO lifecycle and approvals,Implement valid PO transitions and configurable approval gate,,EPIC-PROC,8,Sprint 3 (Weeks 5-6),Highest,arda-v2 mvp sprint-3 procurement,Only valid status transitions allowed;Approval policy is tenant configurable;Audit and events fire on status changes
ARDA,ARDA-305,Story,Send PO email with PDF attachment,Send purchase orders to suppliers with attachment and logging,,EPIC-PROC,5,Sprint 3 (Weeks 5-6),High,arda-v2 mvp sprint-3 procurement,PO email sends successfully;PDF attachment is generated;Send results are tracked in audit trail
ARDA,ARDA-306,Story,Auto link PO lines to cards,Maintain linkage between PO lines and triggering cards with stage updates,,EPIC-KBN,5,Sprint 3 (Weeks 5-6),High,arda-v2 mvp sprint-3 kanban,PO lines retain card linkage;Card stage updates are consistent;History remains immutable
ARDA,ARDA-307,Story,Enforce notification preferences,Apply user channel and type preferences during notification delivery,,EPIC-ANL,5,Sprint 3 (Weeks 5-6),Medium,arda-v2 mvp sprint-3 notifications,Preference matrix is respected;Disabled channels do not send;Preference changes apply immediately
ARDA,ARDA-308,Story,Add end to end procurement tests,Cover scan to queue to PO lifecycle in automated tests,,EPIC-PLT,5,Sprint 3 (Weeks 5-6),High,arda-v2 mvp sprint-3 testing,Happy path is automated;Failure paths for invalid transitions are covered;Tests run in CI
ARDA,ARDA-401,Story,Build receiving workflow UI,Create receiving dock flow for line receipts and scan confirmation,,EPIC-REC,8,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 receiving,Users can receive full and partial lines;Receiving updates card stages;Receiving actions are audited
ARDA,ARDA-402,Story,Implement exception workflows,Support short damaged and quality reject handling paths,,EPIC-REC,8,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 exceptions,Exception types capture reason and quantity;Workflows route to correct next actions;Audit trail captures exception decisions
ARDA,ARDA-403,Story,Auto create follow up demand for shorts,Generate follow up procurement demand on short shipment,,EPIC-REC,5,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 exceptions,Remaining quantity is computed correctly;Follow up demand is traceable;Duplicate follow ups are prevented
ARDA,ARDA-404,Story,Support card replacement with same UUID,Replace damaged cards while preserving immutable card identity,,EPIC-KBN,5,Sprint 4 (Weeks 7-8),Medium,arda-v2 mvp sprint-4 kanban,Replacement print preserves card UUID;History continuity is preserved;Reprint count updates
ARDA,ARDA-405,Story,Build work order routing board,Provide production board for routing step execution,,EPIC-PROD,8,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 production,Routing steps can move through statuses;Estimated and actual time is recorded;Work order status remains consistent
ARDA,ARDA-406,Story,Add work center capacity view,Show work center capacity and current load,,EPIC-PROD,5,Sprint 4 (Weeks 7-8),Medium,arda-v2 mvp sprint-4 production,Capacity metrics are visible per center;Load visualization updates in near real time;Overload conditions are highlighted
ARDA,ARDA-407,Story,Implement transfer queue and order lifecycle,Build transfer queue conversion and full transfer order flow,,EPIC-TRN,8,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 transfer,Triggered transfer cards can create TOs;Status transitions follow policy;Source destination constraints are enforced
ARDA,ARDA-408,Story,Synchronize transfer ship receive with cards,Ensure transfer ship and receive updates card lifecycle correctly,,EPIC-TRN,5,Sprint 4 (Weeks 7-8),High,arda-v2 mvp sprint-4 transfer,Card stages align with transfer status;Transition events are emitted;Audit captures ship and receive actions
ARDA,ARDA-501,Story,Build inventory inference engine,Infer stage quantities and days of supply from transition velocity,,EPIC-REL,8,Sprint 5 (Weeks 9-10),Highest,arda-v2 mvp sprint-5 relowisa,Inference computes per loop and location quantities;Days of supply is available;Results are queryable by API
ARDA,ARDA-502,Story,Implement ReLoWiSa recommendation workflow,Generate and review recommendation records with approval actions,,EPIC-REL,8,Sprint 5 (Weeks 9-10),Highest,arda-v2 mvp sprint-5 relowisa,Recommendations include parameter proposals;Users can approve reject and comment;Applied recommendations write parameter history
ARDA,ARDA-503,Story,Create KPI computation service,Compute core operational KPIs for executive and manager dashboards,,EPIC-ANL,8,Sprint 5 (Weeks 9-10),High,arda-v2 mvp sprint-5 analytics,KPIs include turns fill rate stockout frequency and cycle time;Metric definitions are documented;API responses are tenant scoped
ARDA,ARDA-504,Story,Deliver eCommerce API v1 and OpenAPI,Ship versioned external API for catalog inventory orders and fulfillment,,EPIC-ECOM,8,Sprint 5 (Weeks 9-10),High,arda-v2 mvp sprint-5 ecommerce,Versioned endpoints are available;OpenAPI spec is generated;Rate limiting and auth are enforced
ARDA,ARDA-505,Story,Build salesperson dashboard,Provide inventory visibility quoting inputs and sales order intake,,EPIC-ECOM,5,Sprint 5 (Weeks 9-10),Medium,arda-v2 mvp sprint-5 sales,Sales users can view availability and ETA;Sales order intake creates inventory demand;Order status is visible per customer
ARDA,ARDA-506,Story,Build ecommerce director dashboard,Provide sell through and catalog control dashboard,,EPIC-ECOM,5,Sprint 5 (Weeks 9-10),Medium,arda-v2 mvp sprint-5 ecommerce,Sell through metrics are displayed;Catalog visibility controls are editable;Demand impact signals are visible
ARDA,ARDA-507,Story,Integrate Stripe subscriptions and metering,Implement subscription billing and usage reporting to Stripe,,EPIC-BILL,8,Sprint 5 (Weeks 9-10),Highest,arda-v2 mvp sprint-5 billing,Subscription create update and cancel flows work;Usage records sync to Stripe;Billing failures surface actionable errors
ARDA,ARDA-508,Story,Enforce plan feature gates,Gate seats cards and feature access by plan entitlements,,EPIC-BILL,5,Sprint 5 (Weeks 9-10),Highest,arda-v2 mvp sprint-5 billing,Over limit actions are blocked;Upgrade prompts are shown;Gate checks are covered by automated tests
ARDA,ARDA-601,Story,Build executive KPI dashboard,Deliver executive dashboard with KPI trend drilldowns,,EPIC-ANL,8,Sprint 6 (Weeks 11-12),High,arda-v2 mvp sprint-6 analytics,Executives can filter by date and location;Charts and KPI cards render correctly;Data latency meets target
ARDA,ARDA-602,Story,Add CSV and PDF report exports,Export selected reports and tables to CSV and PDF,,EPIC-ANL,8,Sprint 6 (Weeks 11-12),High,arda-v2 mvp sprint-6 reporting,Exports honor filters;PDF layout is readable;Exports are logged and downloadable
ARDA,ARDA-603,Story,Implement Elasticsearch indexing and search,Index parts orders suppliers and support faceted search,,EPIC-ANL,8,Sprint 6 (Weeks 11-12),High,arda-v2 mvp sprint-6 search,Index pipeline runs reliably;Search supports filters and pagination;Reindex tooling is available
ARDA,ARDA-604,Story,Run performance tests and tuning,Execute load tests and tune database and API performance,,EPIC-OPS,8,Sprint 6 (Weeks 11-12),Highest,arda-v2 mvp sprint-6 performance,P95 latency targets are met;Throughput targets are met;Bottlenecks are documented with fixes
ARDA,ARDA-605,Story,Complete security hardening and RLS validation,Validate tenant isolation token handling and security controls,,EPIC-OPS,8,Sprint 6 (Weeks 11-12),Highest,arda-v2 mvp sprint-6 security,Cross tenant access tests fail as expected;JWT and refresh rotation are validated;Rate limits and headers meet policy
ARDA,ARDA-606,Story,Publish runbooks and SLO dashboards,Deliver operational runbooks alerting and SLO visibility,,EPIC-OPS,5,Sprint 6 (Weeks 11-12),High,arda-v2 mvp sprint-6 operations,Runbooks exist for major incidents;Alert routing is configured;SLO dashboards are accessible
ARDA,ARDA-607,Story,Execute pilot UAT and bug bash,Run pilot tenant UAT and close blocker issues,,EPIC-OPS,8,Sprint 6 (Weeks 11-12),High,arda-v2 mvp sprint-6 uat,Pilot scenarios are executed;Blocker and critical defects are closed;Go live signoff is documented
ARDA,ARDA-608,Story,Complete release and rollback rehearsal,Run full release checklist and rollback dry run,,EPIC-OPS,5,Sprint 6 (Weeks 11-12),Highest,arda-v2 mvp sprint-6 release,Release checklist is complete;Rollback is tested end to end;Stakeholders approve launch readiness
